,房屋名字,标签,地点,住房结构,住房面积,朝向,装修情况,高/低楼层,楼层竣工时间,楼层情况,热度,价格（万元）,每平方米单价
0,大金沙金地集团总部，满五年唯一 标准2房户型 户型好,必看好房,金地名轩 - 沙尾,2室1厅 , 65.15平米 , 东北 , 简装 , 低楼层(共33层) , 2010年建 , 板塔结合,5人关注 / 9天以前发布,466,单价71500元/平米
1,精装修 满五唯一 看湖景，采光充足，交通便利,必看好房,万科千林山居二期（万科清林径） - 龙岗中心城,3室1厅 , 110.47平米 , 东南 , 精装 , 低楼层(共30层) , 2012年建 , 板楼,53人关注 / 7个月以前发布,381,单价34400元/平米
2,满五诚心出售，复式四房，使用率高 采光通透 价格可谈,必看好房,深业东城上邸 - 坪山,4室2厅 , 88.64平米 , 东南 , 简装 , 中楼层(共31层) , 2009年建 , 塔楼,1人关注 / 8天以前发布,319,单价35900元/平米
3,鸿荣源尚峰 4室2厅 南,必看好房,鸿荣源尚峰 - 布吉石芽岭,4室2厅 , 89.55平米 , 南 , 简装 , 30层 , 2016年建 , 板塔结合,1人关注 / 7天以前发布,540,单价60300元/平米
4,信义金御半山二期 5室1厅 东南,必看好房,信义金御半山二期 - 布吉关,5室1厅 , 144.58平米 , 东南 , 精装 , 低楼层(共38层) , 2016年建 , 板塔结合,8人关注 / 7天以前发布,1450,单价100291元/平米
5,天骄华庭186平带113平花园次顶层2梯1户,必看好房,天骄华庭 - 蛇口,4室2厅 , 186.15平米 , 东南 , 精装 , 高楼层(共16层) , 2004年建 , 板楼,19人关注 / 15天以前发布,1948,单价104600元/平米
6,星海名城二期八组团 3室2厅 东北,必看好房,星海名城二期八组团 - 前海,3室2厅 , 114.37平米 , 东北 , 简装 , 低楼层(共18层) , 2002年建 , 塔楼,4人关注 / 15天以前发布,846,单价73900元/平米
7,此房满五不唯一，户型方正，业主诚心出售。,必看好房,蔚蓝海岸3期 - 后海,3室2厅 , 115.4平米 , 西南 , 精装 , 低楼层(共11层) , 2004年建 , 板塔结合,4人关注 / 18天以前发布,1251,单价108400元/平米
8,此房满五税费少，精装修，拎包即住 高楼层采光视野好,必看好房,华浩源四期景园 - 布吉石芽岭,5室1厅 , 73.85平米 , 南 , 精装 , 高楼层(共17层) , 2008年建 , 板楼,0人关注 / 19天以前发布,495,单价67028元/平米
9,满五唯一，无欠款，大运新城，诚心出售，,必看好房,中海康城花园二期 - 大运新城,4室2厅 , 137.28平米 , 东南 , 精装 , 高楼层(共24层) , 2011年建 , 塔楼,0人关注 / 5天以前发布,585,单价42600元/平米
10,信义二期经典四房 全新装修 业主换房诚意出售,必看好房,信义假日名城博雅园 - 布吉关,4室2厅 , 90.93平米 , 东南 西北 , 精装 , 6层 , 2002年建 , 板塔结合,17人关注 / 6天以前发布,420,单价46100元/平米
11,此房急售，家私家电全包，高楼层安静，东南向大三房,必看好房,合正丹郡 - 丹竹头,3室1厅 , 99.91平米 , 东南 , 精装 , 高楼层(共34层) , 2017年建 , 板楼,4人关注 / 4天以前发布,386,单价38600元/平米
12,此房客厅餐厅格局分明，客厅正出阳，房子满五年。,必看好房,国皇大厦 - 皇岗,3室2厅 , 101平米 , 东北 , 精装 , 高楼层(共32层) , 1998年建 , 板塔结合,5人关注 / 7天以前发布,501,单价49600元/平米
13,万科物业，园林社区，看花园，满五，费用少,必看好房,万科金色领域 - 福永,4室2厅 , 143.17平米 , 东南 , 精装 , 低楼层(共15层) , 板楼,无,0人关注 / 4天以前发布,745,单价52000元/平米
14,全新未入住过的新房 满五年唯一 高楼层南北通透,必看好房,信义嘉御山5期 - 坂田,4室2厅 , 88.93平米 , 南 北 , 精装 , 高楼层(共39层) , 2016年建 , 塔楼,3人关注 / 12天以前发布,685,单价77000元/平米
15,企鹅岛15年的次新小区，法式园林，高层看海,必看好房,广兴源圣拿威 - 碧海,3室2厅 , 85.05平米 , 南 , 精装 , 28层 , 2013年建 , 板塔结合,4人关注 / 6天以前发布,723,单价85000元/平米
16,高楼层 朝南看山看水库 南北通 两梯三户 安静 马峦山,必看好房,振业天峦 - 龙岗宝荷,4室2厅 , 144.44平米 , 东南 , 毛坯 , 高楼层(共30层) , 2014年建 , 板塔结合,0人关注 / 4天以前发布,542,单价37500元/平米
17,左庭右院南区 3室2厅 南 北,必看好房,左庭右院南区 - 丹竹头,3室2厅 , 115.05平米 , 南 北 , 简装 , 高楼层(共9层) , 2006年建 , 板塔结合,1人关注 / 8天以前发布,493,单价42800元/平米
18,此房满五唯一，装修好，业主诚心出售,必看好房,龙都名园 - 西丽,3室2厅 , 90.46平米 , 北 , 精装 , 中楼层(共17层) , 2003年建 , 塔楼,3人关注 / 2天以前发布,643,单价71000元/平米
19,冠城世家 3室2厅 东南,必看好房,冠城世家 - 新安,3室2厅 , 140.45平米 , 东南 , 精装 , 高楼层(共16层) , 2003年建 , 板塔结合,0人关注 / 6天以前发布,933,单价66400元/平米
20,可园朝南五房，满五年，唯一，带60平花园,必看好房,佳兆业可园二期 - 布吉关,5室2厅 , 83.14平米 , 东南 , 精装 , 23层 , 2005年建 , 板塔结合,2人关注 / 3天以前发布,449,单价53900元/平米
21,佳兆业广场三期正规4房+满五年+大阳台，业主就靠谱卖,必看好房,佳兆业中央广场三期 - 坂田,4室1厅 , 89平米 , 南 北 , 精装 , 低楼层(共46层) , 2016年建 , 塔楼,9人关注 / 6天以前发布,526,单价59000元/平米
22,南，安静！小高层三房，看小区花园泳池安静，满五唯一,必看好房,海文花园 - 科技园,3室2厅 , 114.75平米 , 南 , 精装 , 中楼层(共10层) , 2000年建 , 板楼,2人关注 / 6天以前发布,1029,单价89600元/平米
23,房子满五年，唯一税费少。朝南看山景,必看好房,来座山 - 布吉石芽岭,4室2厅 , 122.18平米 , 南 , 精装 , 低楼层(共32层) , 2011年建 , 板楼,0人关注 / 4天以前发布,672,单价55000元/平米
24,南天二花园 南向大三房 免个税 业主诚心卖 看房方便,必看好房,南天二花园 - 百花,3室1厅 , 93.93平米 , 南 , 简装 , 中楼层(共18层) , 1993年建 , 板塔结合,1人关注 / 15天以前发布,1128,单价120000元/平米
25,户型方正实用客厅出阳台，景观看花园，业主诚心卖,必看好房,华策中心城 - 龙岗中心城,3室1厅 , 84.38平米 , 东南 , 精装 , 高楼层(共26层) , 2017年建 , 板塔结合,0人关注 / 15天以前发布,478,单价56649元/平米
26,布吉正地铁口，精装三房 满五唯一税费少,必看好房,佳兆业大都汇 - 布吉关,3室2厅 , 107.15平米 , 西 , 精装 , 33层 , 2011年建 , 板楼,21人关注 / 14天以前发布,331,单价30800元/平米
27,南北通透，满五唯一，诚心出售。小区中间，居住安静,必看好房,鹏达花园 - 龙岗双龙,3室2厅 , 109.67平米 , 南 北 , 简装 , 低楼层(共6层) , 2001年建 , 板塔结合,8人关注 / 11天以前发布,299,单价27200元/平米
28,罕见复式，带两个停车位，满五唯一,必看好房,碧华庭居 - 梅林,5室1厅 , 210.23平米 , 南 , 精装 , 高楼层(共11层) , 2000年建 , 塔楼,1人关注 / 17天以前发布,1426,单价67800元/平米
29,高楼层 采光好 朝南 装修保养清爽 拎包入住,必看好房,星海名城六期 - 前海,5室1厅 , 162.71平米 , 东南 , 精装 , 31层 , 2007年建 , 板塔结合,13人关注 / 16天以前发布,1400,单价86000元/平米
30,香山里一期花园 看高尔夫景观 高楼层 自住中,必看好房,香山里 - 华侨城,4室2厅 , 173.59平米 , 南 东南 , 精装 , 中楼层(共32层) , 2010年建 , 板楼,33人关注 / 19天以前发布,1384,单价79700元/平米
31,本房满5年，实用面积大，上下5层,必看好房,中海九号公馆三期 - 曦城,5室2厅 , 182.66平米 , 南 , 毛坯 , 5层 , 塔楼,无,2人关注 / 17天以前发布,1650,单价90300元/平米
32,小区大户型 南北通 单价低总价低 拎包入住,必看好房,香山里花园二期 - 华侨城,4室2厅 , 178.07平米 , 南 , 精装 , 低楼层(共18层) , 2011年建 , 板楼,3人关注 / 19天以前发布,1436,单价80600元/平米
33,中粮幸福花园 3室2厅 西南,必看好房,中粮幸福花园 - 西乡,3室2厅 , 53.07平米 , 西南 , 精装 , 低楼层(共27层) , 2009年建 , 板塔结合,1人关注 / 4天以前发布,438,单价82500元/平米
34,满五不唯一带车位叠院一楼红本在手出售,必看好房,万科第五园三期 - 坂田,4室3厅 , 145.63平米 , 南 , 精装 , 低楼层(共3层) , 2008年建 , 塔楼,3人关注 / 2天以前发布,839,单价57600元/平米
35,万科70年产权复式精装小三房 端头户型通燃气采光好,必看好房,万科天誉二期 - 龙岗中心城,3室1厅 , 84.71平米 , 西南 , 精装 , 中楼层(共33层) , 2017年建 , 塔楼,1人关注 / 6天以前发布,330,单价38957元/平米
36,华盛精装修3房 户型方正 采光很好 业主诚心出售,必看好房,华盛峰荟名庭 - 观澜,3室1厅 , 55.83平米 , 东南 , 精装 , 中楼层(共36层) , 2016年建 , 板塔结合,408人关注 / 一年前发布,170,单价30450元/平米
37,公园大地一期 4室1厅 南,必看好房,公园大地一期 - 龙岗中心城,4室1厅 , 197.08平米 , 南 , 毛坯 , 低楼层(共22层) , 2008年建 , 板楼,3人关注 / 23天以前发布,1045,单价53000元/平米
38,深云村地铁口 红本在手 西北向 高楼层,必看好房,深云村 - 华侨城,3室2厅 , 91.07平米 , 北 , 简装 , 中楼层(共34层) , 2010年建 , 塔楼,1人关注 / 26天以前发布,827,单价90800元/平米
39,满五年唯一红本在手，共3层带大露台,必看好房,知春里 - 布吉大芬,5室2厅 , 100.51平米 , 东南 , 精装 , 高楼层(共6层) , 2005年建 , 板楼,1人关注 / 29天以前发布,406,单价40300元/平米
40,此房满五唯一，红本，楼层好，配套..,必看好房,月亮湾花园 - 前海,3室2厅 , 88.99平米 , 东南 , 简装 , 高楼层(共8层) , 1997年建 , 板楼,5人关注 / 18天以前发布,516,单价57900元/平米
41,毛坯 高层海景 大四房 大阳台 满五唯一高尔夫海笋景观,必看好房,百仕达红树西岸 - 红树湾,4室2厅 , 240.41平米 , 东 西 , 毛坯 , 高楼层(共29层) , 2006年建 , 板楼,15人关注 / 26天以前发布,2657,单价110500元/平米
42,黄埔雅苑一期刚需三房，可免个税，红本在手,必看好房,黄埔雅苑一期 - 福田中心,3室2厅 , 107.12平米 , 西北 , 简装 , 27层 , 2001年建 , 塔楼,15人关注 / 18天以前发布,947,单价88400元/平米
43,曦城二期端头别墅，南入户，户型方正花园大,必看好房,招商华侨城曦城二期 - 曦城,5室2厅 , 304.02平米 , 东南 南 , 毛坯 , 1层 , 2008年建 , 暂无数据 ,24人关注 / 一年前发布,2493,单价82000元/平米
44,万科天誉5房满五东南朝向安静舒适 业主急卖,必看好房,万科天誉 - 龙岗中心城,5室5厅 , 153.15平米 , 东南 , 精装 , 低楼层(共32层) , 2013年建 , 板塔结合,28人关注 / 9个月以前发布,716,单价46700元/平米
45,水木华庭顶楼复式 带38平米大露台 安静看花园,必看好房,水木华庭 - 西丽,5室2厅 , 87.59平米 , 南 北 , 简装 , 高楼层(共9层) , 2003年建 , 塔楼,122人关注 / 8个月以前发布,640,单价73000元/平米
46,前海，别墅，带花园，满五，不唯一，诚心出售。,必看好房,月亮湾山庄 - 前海,5室4厅 , 267.82平米 , 东南 , 简装 , 1层 , 1997年建 , 板楼 ,2人关注 / 1个月以前发布,1875,单价70000元/平米
47,招华曦城五期扩展好的独栋别墅 上下五层 双首层出花园,必看好房,招商华侨城曦城五期 - 曦城,6室3厅 , 365.04平米 , 东南 , 毛坯 , 1层 , 2013年建 , 板塔结合 ,7人关注 / 3个月以前发布,3297,单价90300元/平米
48,天鹅堡正中间位置高层大四房，采光好，户型通透景观美,必看好房,天鹅堡 - 华侨城,4室1厅 , 203.67平米 , 东南 , 简装 , 高楼层(共20层) , 2004年建 , 塔楼,111人关注 / 10个月以前发布,1548,单价76000元/平米
49,朝南看花园，装修漂亮，光线好，住家舒适！地铁口,必看好房,富盈门 - 西乡,2室1厅 , 81.97平米 , 东南 , 精装 , 低楼层(共19层) , 2001年建 , 板楼,3人关注 / 14天以前发布,473,单价57600元/平米
50,承翰陶柏莉朝南向大三房户型方正满五年红本在手,必看好房,承翰陶柏莉 - 大鹏半岛,3室2厅 , 104.18平米 , 南 , 毛坯 , 中楼层(共28层) , 2016年建 , 板塔结合,0人关注 / 10天以前发布,382,单价36600元/平米
51,朝东高层看花园 看房有钥匙 业主自住 装修保养好,必看好房,嘉宝田花园 - 笋岗,2室1厅 , 68.11平米 , 东 , 精装 , 高楼层(共26层) , 2005年建 , 塔楼,3人关注 / 4天以前发布,473,单价69300元/平米
52,店长推荐好房，看小区园林，满五唯一,必看好房,康欣园 - 香梅北,4室2厅 , 123.06平米 , 东北 , 简装 , 中楼层(共24层) , 1999年建 , 塔楼,5人关注 / 14天以前发布,871,单价70700元/平米
53,地铁口大花园社区，精装三房满五唯一，业主诚心出售,必看好房,水晶之城四期 - 横岗,3室2厅 , 89.83平米 , 西南 , 简装 , 高楼层(共6层) , 2005年建 , 板塔结合,9人关注 / 15天以前发布,327,单价36400元/平米
54,满五唯一+厅出阳台+三地铁口物业+门口沃尔玛+总价低,必看好房,龙珠花园C区 - 布吉关,2室1厅 , 57.22平米 , 西 , 简装 , 低楼层(共31层) , 1999年建 , 塔楼,8人关注 / 6天以前发布,217,单价37800元/平米
55,大芬地铁口 和通花园 中楼层居家三房户型方正业主急售,必看好房,和通花园 - 布吉大芬,3室1厅 , 86.02平米 , 东南 , 精装 , 中楼层(共8层) , 2002年建 , 板楼,2人关注 / 10天以前发布,322,单价37400元/平米
56,清湖北地铁口，正规三房，毛坯出售。,必看好房,天玑公馆 - 龙华中心,3室2厅 , 82.86平米 , 南 东南 , 毛坯 , 低楼层(共41层) , 2016年建 , 板塔结合,0人关注 / 11天以前发布,469,单价56500元/平米
57,业主诚心出售价格有空间，装修未改动,必看好房,京基御景中央 - 大运新城,3室2厅 , 86.33平米 , 西南 , 精装 , 中楼层(共30层) , 塔楼,无,3人关注 / 15天以前发布,455,单价52700元/平米
58,业主诚心出售 红本在手满五年 税费少 低总价 看房方便,必看好房,鸿威海怡轩 - 梅沙,1室0厅 , 48.81平米 , 东南 , 精装 , 中楼层(共8层) , 2009年建 , 板楼,0人关注 / 6天以前发布,165,单价33800元/平米
59,钥匙在手看房方便 红本满五年 普通住宅税低 价格可谈,必看好房,黄埔雅苑四期 - 福田中心,1室1厅 , 80.25平米 , 西北 , 简装 , 中楼层(共30层) , 2003年建 , 塔楼,2人关注 / 9天以前发布,731,单价91000元/平米
60,中兆花园 2室1厅 东北,必看好房,中兆花园 - 布吉大芬,2室1厅 , 65.08平米 , 东北 , 简装 , 低楼层(共22层) , 2001年建 , 板楼,3人关注 / 6天以前发布,261,单价40100元/平米
61,碧海富通城三期 4室2厅 东南,必看好房,碧海富通城三期 - 碧海,4室2厅 , 141.09平米 , 东南 , 简装 , 低楼层(共32层) , 2007年建 , 塔楼,3人关注 / 9天以前发布,991,单价70200元/平米
62,2018年次新小区，满五年红本在手 高楼层看花园景观,必看好房,中海天钻 - 万象城,3室2厅 , 100.48平米 , 南 , 简装 , 高楼层(共35层) , 2017年建 , 板塔结合,3人关注 / 10天以前发布,861,单价85600元/平米
63,笋岗大厦 2室1厅 东南,必看好房,笋岗大厦 - 笋岗,2室1厅 , 63.83平米 , 东南 , 简装 , 高楼层(共23层) , 2004年建 , 板塔结合,0人关注 / 4天以前发布,241,单价37600元/平米
64,龙岗区政府旁满5年唯一，税费少，大3房，万科配套,必看好房,新鸿花园 - 龙岗中心城,2室2厅 , 82.92平米 , 东南 , 简装 , 低楼层(共7层) , 1997年建 , 板塔结合,1人关注 / 8天以前发布,306,单价36900元/平米
65,红本在手，端头位西南向，安静不吵,必看好房,佳华书苑雅阁 - 新安,2室2厅 , 64.87平米 , 西南 , 精装 , 中楼层(共16层) , 2008年建 , 板塔结合,0人关注 / 4天以前发布,651,单价100300元/平米
66,刚需大两房 拎包入住 安静宜居,必看好房,康达尔花园一期 - 布吉大芬,2室2厅 , 77.96平米 , 南 , 简装 , 中楼层(共10层) , 2001年建 , 板塔结合,1人关注 / 4天以前发布,300,单价38400元/平米
67,小区整体保养好，高档社区宏发物业，房子户型方正通透,必看好房,宏发上域 - 公明,1室1厅 , 34.59平米 , 南 , 精装 , 中楼层(共17层) , 2012年建 , 板塔结合,2人关注 / 13天以前发布,164,单价47200元/平米
68,荔树人家 2室1厅 北,必看好房,荔树人家 - 新洲,2室1厅 , 52.26平米 , 北 , 简装 , 高楼层(共11层) , 2001年建 , 塔楼,0人关注 / 1天以前发布,340,单价65000元/平米
69,小区就这套便宜，传统户型三房两卫开发商精装,必看好房,融湖中心城二期 - 平湖,3室2厅 , 89.07平米 , 南 北 , 精装 , 中楼层(共32层) , 2018年建 , 板塔结合,0人关注 / 14天以前发布,384,单价43000元/平米
70,地铁口物业 满五唯一 红本 楼层好 税费少 采光好,必看好房,鹏城悦里·名城汇 - 布吉大芬,1室1厅 , 43.87平米 , 西北 , 简装 , 高楼层(共26层) , 1998年建 , 板塔结合,7人关注 / 5天以前发布,134,单价30500元/平米
71,满五年家庭唯一，东南安静，采光通风好，楼层适中,必看好房,青春庭园 - 西乡,1室0厅 , 24.66平米 , 东南 , 简装 , 中楼层(共6层) , 2003年建 , 板塔结合,1人关注 / 2天以前发布,148,单价60000元/平米
72,此房满五唯一 南向通透户型 看花园 采光视野好,必看好房,THETOWN乐城 - 大运新城,4室1厅 , 130.63平米 , 东南 , 精装 , 低楼层(共33层) , 2015年建 , 塔楼,8人关注 / 24天以前发布,591,单价45200元/平米
73,丹竹头地铁口 英郡年华高层看花园泳池 满五年红本,必看好房,英郡年华花园一期 - 丹竹头,3室1厅 , 86.76平米 , 北 , 精装 , 30层 , 2006年建 , 板塔结合,0人关注 / 6天以前发布,383,单价44100元/平米
74,住家装修，正规三房，朝南客厅出阳台,必看好房,润科华府 - 曦城,3室2厅 , 88.84平米 , 南 , 精装 , 中楼层(共30层) , 2018年建 , 塔楼,1人关注 / 5天以前发布,534,单价60000元/平米
75,宝珠花园 3室2厅 南,必看好房,宝珠花园 - 西丽,3室2厅 , 86.92平米 , 南 , 精装 , 中楼层(共11层) , 2000年建 , 塔楼,0人关注 / 6天以前发布,600,单价69000元/平米
76,"阅山华府，精装复式4房,满五年中高楼层，业主诚心出售",必看好房,阅山华府 - 龙岗中心城,4室2厅 , 80.96平米 , 东南 , 精装 , 32层 , 2012年建 , 板塔结合,3人关注 / 8天以前发布,326,单价40200元/平米
77,红本在手，3+1房两卫、客厅餐厅方正实用，业主诚售,必看好房,长安花园 - 百花,3室2厅 , 129.12平米 , 东南 , 简装 , 低楼层(共30层) , 1995年建 , 塔楼,0人关注 / 4天以前发布,1292,单价100000元/平米
78,银信四房，房子满五年，诚心出售,必看好房,银信中心二期 - 横岗,4室2厅 , 88.37平米 , 西南 , 精装 , 低楼层(共30层) , 2016年建 , 塔楼,1人关注 / 5天以前发布,405,单价45800元/平米
79,竹子林高层电梯小三房，优质景观，安静社区房。,必看好房,竹盛花园三期 - 竹子林,3室2厅 , 90.89平米 , 西南 , 简装 , 低楼层(共27层) , 2006年建 , 板塔结合,0人关注 / 9天以前发布,750,单价82500元/平米
80,御景水岸精装三房，南北通透带入户，无暗房，满五年,必看好房,御景水岸花园 - 福永,3室2厅 , 83.64平米 , 南 北 , 精装 , 中楼层(共21层) , 2013年建 , 板楼,0人关注 / 6天以前发布,419,单价50000元/平米
81,珑禧 标准3房1卫 户型房子 满五唯一 采光充足,必看好房,珑禧 - 龙岗中心城,3室2厅 , 81.57平米 , 东南 , 精装 , 低楼层(共32层) , 2015年建 , 板塔结合,0人关注 / 5天以前发布,306,单价37500元/平米
82,水晶之城四期 3室2厅 南,必看好房,水晶之城四期 - 横岗,3室2厅 , 110.19平米 , 南 , 精装 , 低楼层(共6层) , 2002年建 , 板塔结合,0人关注 / 5天以前发布,402,单价36400元/平米
83,南北通透3房 高楼层 采光通风好 满5年 业主诚心出售,必看好房,花语岸 - 布吉街,3室2厅 , 83.33平米 , 南 北 , 简装 , 30层 , 2010年建 , 板塔结合,3人关注 / 5天以前发布,390,单价46700元/平米
84,鹏兴花园六期 次顶楼精装四居室 满五年 南北通透,必看好房,鹏兴花园六期 - 莲塘,4室2厅 , 93.13平米 , 南 北 , 精装 , 高楼层(共11层) , 2003年建 , 板楼,4人关注 / 11天以前发布,555,单价59500元/平米
85,前海自贸区 地铁一号线 精装三房出售,必看好房,星海名城二期七组团 - 前海,3室1厅 , 96.79平米 , 东 , 精装 , 中楼层(共14层) , 2002年建 , 板塔结合,12人关注 / 13天以前发布,716,单价73900元/平米
86,满五唯一红本税费少高层客厅出阳台.,必看好房,阳光花地苑 - 前海,1室1厅 , 40.23平米 , 南 , 简装 , 27层 , 2010年建 , 塔楼,0人关注 / 4天以前发布,407,单价101000元/平米
87,信义御城四房，厅出阳台，诚心出售,必看好房,信义御城豪园 - 横岗,4室2厅 , 113.39平米 , 东南 , 精装 , 低楼层(共33层) , 2013年建 , 板塔结合,0人关注 / 3天以前发布,465,单价41000元/平米
88,海馨苑 4室2厅 南,必看好房,海馨苑 - 华强北,4室2厅 , 149.1平米 , 南 , 精装 , 中楼层(共21层) , 2009年建 , 板塔结合,4人关注 / 14天以前发布,1556,单价104300元/平米
89,满五唯一红本，税费少，楼层好，住家安静，交通便利。,必看好房,友联花园 - 布吉大芬,3室1厅 , 78.81平米 , 东南 , 精装 , 中楼层(共7层) , 2002年建 , 塔楼,5人关注 / 3天以前发布,285,单价36100元/平米
